Time,Frequency,Resistance
847, 5009472.000000, 445.266667
848, 5009471.442857, 445.281429
849, 5009471.016667, 445.300000
850, 5009470.600000, 445.320000
851, 5009470.042857, 445.348571
852, 5009469.557143, 445.372857
853, 5009469.050000, 445.400000
854, 5009468.228571, 445.424286
855, 5009467.685714, 445.452857
856, 5009467.350000, 445.470000
857, 5009467.057143, 445.500000
858, 5009466.766667, 445.520000
859, 5009466.557143, 445.537143
860, 5009466.300000, 445.548333
861, 5009466.185714, 445.557143
862, 5009466.066667, 445.573333
863, 5009465.785714, 445.585714
864, 5009465.100000, 445.605000
865, 5009464.900000, 445.623333
866, 5009464.683333, 445.633333
867, 5009464.600000, 445.641667
868, 5009464.485714, 445.652857
869, 5009464.385714, 445.670000
870, 5009464.300000, 445.670000
871, 5009464.185714, 445.680000
872, 5009464.100000, 445.690000
873, 5009463.866667, 445.698333
874, 5009463.157143, 445.717143
875, 5009462.900000, 445.733333
876, 5009462.685714, 445.745714
877, 5009462.560000, 445.762000
878, 5009462.385714, 445.770000
879, 5009462.266667, 445.775000
880, 5009462.085714, 445.784286
881, 5009461.983333, 445.793333
882, 5009461.900000, 445.802000
883, 5009461.483333, 445.813333
884, 5009460.800000, 445.830000
885, 5009460.366667, 445.850000
886, 5009460.150000, 445.870000
887, 5009459.900000, 445.878333
888, 5009459.500000, 445.920000
889, 5009459.016667, 445.946667
890, 5009458.600000, 445.968000
891, 5009458.216667, 445.990000
892, 5009457.575000, 446.015000
893, 5009456.900000, 446.055000
894, 5009455.925000, 446.100000
895, 5009455.300000, 446.133333
896, 5009454.700000, 446.171429
897, 5009454.100000, 446.206667
898, 5009453.400000, 446.240000
899, 5009452.700000, 446.280000
900, 5009451.966667, 446.310000
901, 5009451.200000, 446.352857
902, 5009450.600000, 446.393333
903, 5009449.285714, 446.442857
904, 5009448.466667, 446.486667
905, 5009447.700000, 446.528571
906, 5009446.966667, 446.575000
907, 5009446.185714, 446.630000
908, 5009445.500000, 446.686667
909, 5009444.900000, 446.731429
910, 5009444.300000, 446.766667
911, 5009443.700000, 446.805714
912, 5009442.771429, 446.845714
913, 5009442.000000, 446.880000
914, 5009441.400000, 446.920000
915, 5009440.942857, 446.945714
916, 5009440.600000, 446.975000
917, 5009440.357143, 447.001429
918, 5009440.100000, 447.016667
919, 5009439.885714, 447.031429
920, 5009439.800000, 447.050000
921, 5009439.500000, 447.068571
922, 5009439.000000, 447.090000
923, 5009438.500000, 447.120000
924, 5009438.400000, 447.146667
925, 5009438.100000, 447.161667
926, 5009438.000000, 447.170000
927, 5009437.857143, 447.180000
928, 5009437.600000, 447.190000
929, 5009437.600000, 447.198571
930, 5009437.371429, 447.234286
941, 5009435.500000, 447.380000
951, 5009436.600000, 447.330000
961, 5009437.400000, 447.310000
972, 5009438.200000, 447.280000
982, 5009440.900000, 447.160000
992, 5009443.900000, 446.960000
1002, 5009446.400000, 446.810000
1012, 5009447.400000, 446.740000
1023, 5009449.300000, 446.650000
1033, 5009453.000000, 446.420000
1043, 5009458.800000, 446.140000
1053, 5009463.600000, 445.870000
1063, 5009465.500000, 445.720000
1074, 5009466.300000, 445.660000
1084, 5009465.800000, 445.670000
1094, 5009464.900000, 445.700000
1104, 5009464.000000, 445.730000
1114, 5009462.700000, 445.800000
1125, 5009460.400000, 445.910000
1135, 5009456.400000, 446.050000
1145, 5009454.400000, 446.170000
1155, 5009453.300000, 446.240000
1165, 5009453.200000, 446.250000
1176, 5009453.900000, 446.220000
1182, 5009454.800000, 446.190000
1183, 5009454.200000, 446.210000
1184, 5009453.900000, 446.210000
1185, 5009453.900000, 446.210000
1186, 5009453.816667, 446.210000
1187, 5009453.800000, 446.218571
1188, 5009453.633333, 446.228333
1189, 5009453.428571, 446.237143
1190, 5009453.142857, 446.240000
1191, 5009453.016667, 446.253333
1192, 5009453.685714, 446.225714
1193, 5009454.914286, 446.171429
1194, 5009456.100000, 446.130000
1195, 5009457.157143, 446.075714
1196, 5009457.642857, 446.040000
1197, 5009457.200000, 446.041667
1198, 5009457.014286, 446.048571
1199, 5009456.083333, 446.040000
1200, 5009449.471429, 446.360000
1201, 5009443.857143, 446.720000
1202, 5009459.100000, 445.950000
1203, 5009452.271429, 446.250000
1204, 5009444.171429, 446.598571
1205, 5009438.516667, 446.883333
1206, 5009433.600000, 447.120000
1207, 5009429.114286, 447.371429
1208, 5009425.083333, 447.596667
1209, 5009421.828571, 447.810000
1210, 5009417.800000, 448.020000
1211, 5009414.466667, 448.203333
1212, 5009411.614286, 448.395714
1213, 5009408.042857, 448.572857
1214, 5009405.100000, 448.710000
1215, 5009402.600000, 448.847143
1216, 5009399.400000, 449.015714
1217, 5009396.750000, 449.198333
1218, 5009394.371429, 449.351429
1219, 5009391.516667, 449.506667
1220, 5009388.871429, 449.662857
1221, 5009386.583333, 449.820000
1222, 5009390.700000, 449.655714
